case_id,cosine,finite,generated_noise,known_pixel_max_diff,l2_error,method,mse,noise_ratio,noise_source,psnr,runtime_sec,seed,source,ssim
A_ratio_08_04_06_seed_42,0.9974809372354384,True,True,0.0,13.299697992730717,quadratic_gaussian_main_modify,0.0026204735807088225,"[0.8, 0.4, 0.6]",,25.816202144426747,0.08194460000231629,42,A.png,0.8550039516677698
A_ratio_08_04_06_seed_42,0.9970287020982453,True,True,0.0,14.44891999197505,adaptive_rgb_no_ycrcb,0.00309290798421476,"[0.8, 0.4, 0.6]",,25.096330003143823,0.14677839999785647,42,A.png,0.7946216014994288
A_ratio_08_04_06_seed_42,0.9982871088102679,True,True,0.0,10.967637326957815,fixed_window_ycrcb,0.0017820602746026423,"[0.8, 0.4, 0.6]",,27.490776109138295,0.2426588999987871,42,A.png,0.8998167264227103
A_ratio_08_04_06_seed_42,0.9980526537735384,True,True,0.0,11.697407192113058,full_adaptive_ycrcb,0.0020271012595273817,"[0.8, 0.4, 0.6]",,26.9312455650897,0.2708210999990115,42,A.png,0.8644516878524628
A_ratio_08_04_06_seed_2026,0.6271054349500704,True,True,0.0,146.00473167639313,degraded,0.31581306180586,"[0.8, 0.4, 0.6]",,5.005699118422964,1.6900001355679706e-05,2026,A.png,0.051038104308294384
A_ratio_08_04_06_seed_2026,0.9966993349183972,True,True,0.0,15.218734353492783,telea_only,0.0034312574121804647,"[0.8, 0.4, 0.6]",,24.645467000446388,0.021649599999364,2026,A.png,0.8172626568054543
A_ratio_08_04_06_seed_2026,0.9951004849557807,True,True,0.0,18.534933224757573,local_mean_only,0.005089537031795885,"[0.8, 0.4, 0.6]",,22.9332172133337,0.0013756999978795648,2026,A.png,0.7510300696061499
A_ratio_08_04_06_seed_2026,0.9982464785552189,True,True,0.0,11.096219451656259,linear_ridge_main,0.0018240901647305881,"[0.8, 0.4, 0.6]",,27.389536983117964,0.22472109999944223,2026,A.png,0.8994342325305098
A_ratio_08_04_06_seed_2026,0.9974275704001136,True,True,0.0,13.437408270345845,quadratic_gaussian_main_modify,0.0026750213485030954,"[0.8, 0.4, 0.6]",,25.72672747661409,0.08019899999999325,2026,A.png,0.8525219021403073
A_ratio_08_04_06_seed_2026,0.9969498583477335,True,True,0.0,14.6333596188881,adaptive_rgb_no_ycrcb,0.003172373536825258,"[0.8, 0.4, 0.6]",,24.986156815590725,0.14180000000123982,2026,A.png,0.7909993530348123
A_ratio_08_04_06_seed_2026,0.9982464785552189,True,True,0.0,11.096219451656259,fixed_window_ycrcb,0.0018240901647305881,"[0.8, 0.4, 0.6]",,27.389536983117964,0.2393792000002577,2026,A.png,0.8994342325305098
